City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Lorengau,PG,84.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
178,Galle,LK,76.64,broken clouds,6.0367,80.217,Amangalla
180,Axim,GH,76.62,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
183,Bathsheba,BB,75.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
185,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
188,Miandrivazo,MG,77.72,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
189,Mersing,MY,84.11,scattered clouds,2.4312,103.8405,Timotel Hotel
194,Tual,ID,82.56,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
198,Ambulu,ID,83.95,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
199,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
204,Nhulunbuy,AU,88.41,light rain,-12.2333,136.7667,East Arnhem Real Estate
207,Kismayo,SO,77.61,overcast clouds,-0.3582,42.5454,Agan-Hotel
211,Sakhon Nakhon,TH,75.88,mist,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
225,Sawtell,AU,79.12,broken clouds,-30.3833,153.1,The Bungalow Sawtell
228,Hue,VN,77.11,scattered clouds,16.4667,107.6,Saigon Morin Hotel
239,Finschhafen,PG,85.96,scattered clouds,-6.6024,147.8681,Cossam Guest House
248,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
250,Qiongshan,CN,75.18,scattered clouds,20.0058,110.3542,Sun City Restaurant
254,Biak,ID,84.45,broken clouds,-0.9131,122.8766,Penginapan Kim
256,Port Lincoln,AU,76.48,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
257,Ranong,TH,78.73,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
260,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
262,Kawalu,ID,83.62,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
263,Sorong,ID,82.45,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
266,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
268,Manokwari,ID,81.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
272,Tuy Hoa,VN,78.53,clear sky,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
276,Souillac,MU,81.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
287,Matara,LK,76.77,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
294,Puerto Suarez,BO,78.62,few clouds,-18.95,-57.8,Hotel casa real
295,Okrika,NG,77.63,clear sky,4.7416,7.0849,ayo mutiaru f
296,Kralendijk,BQ,78.85,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
297,Salinopolis,BR,78.3,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
298,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
303,Waingapu,ID,87.44,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
304,Kieta,PG,86.32,light rain,-6.2167,155.6333,Uruna Bay Retreat
306,Kahului,US,76.96,clear sky,20.8947,-156.47,Maui Seaside Hotel
308,Cidreira,BR,76.82,clear sky,-30.1811,-50.2056,Hotel Castelo
322,Bambous Virieux,MU,81.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
331,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
335,Vao,NC,76.71,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
339,Guntur,IN,75.09,scattered clouds,16.3,80.45,Hotel Murugan Residency
340,Alofi,NU,81.5,scattered clouds,-19.0595,-169.9187,Taloa Heights
346,Kirakira,SB,86.13,overcast clouds,-10.4544,161.9205,SanBiz Lodge
351,Mahanoro,MG,79.61,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
352,Katobu,ID,87.13,broken clouds,-4.9408,122.5276,La Ode Husein
355,Dhidhdhoo,MV,80.83,overcast clouds,6.8833,73.1,Dhidhoo beach
356,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
362,Mahibadhoo,MV,80.83,overcast clouds,3.7833,72.9667,Omadhoo Inn
