City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
26,The Valley,AI,2022-01-22 23:12:06,18.217,-63.0578,77.83,71,1,17.2
27,Qaanaaq,GL,2022-01-22 23:12:06,77.484,-69.3632,-10.75,84,100,8.5
28,Georgetown,MY,2022-01-22 23:12:06,5.4112,100.3354,79.9,86,20,2.3
29,Hilo,US,2022-01-22 23:12:06,19.7297,-155.09,79.25,60,0,6.91
30,Oranjemund,Namibia,2022-01-22 23:12:07,-28.55,16.4333,83.1,50,100,11.14
31,Comodoro Rivadavia,AR,2022-01-22 23:12:07,-45.8667,-67.5,71.46,35,40,31.07
32,Popondetta,PG,2022-01-22 23:12:07,-8.7537,148.2534,81.3,76,99,1.23
33,Aripuana,BR,2022-01-22 23:12:08,-9.1667,-60.6333,75.11,93,45,3.0
34,Albanel,CA,2022-01-22 23:09:17,48.8832,-72.4487,8.24,81,100,9.42
35,Hermanus,ZA,2022-01-22 23:12:08,-34.4187,19.2345,82.9,68,60,7.52
36,Tallahassee,US,2022-01-22 23:12:08,30.4383,-84.2807,42.85,88,100,8.05
37,Torbay,CA,2022-01-22 23:11:53,47.6666,-52.7314,20.39,85,69,1.99
38,Rocky Mountain House,CA,2022-01-22 23:12:08,52.3668,-114.9188,34.9,95,86,3.31
39,Rikitea,PF,2022-01-22 23:12:09,-23.1203,-134.9692,78.8,74,100,10.49
40,Siverek,TR,2022-01-22 23:12:09,37.755,39.3167,30.81,89,63,8.5
41,Verkhnevilyuysk,RU,2022-01-22 23:12:09,63.4453,120.3167,-16.15,99,12,3.58
42,Gizo,SB,2022-01-22 23:12:10,-8.103,156.8419,84.36,74,22,9.31
43,Colares,PT,2022-01-22 23:12:10,38.7992,-9.4469,53.29,56,96,7.0
44,Avarua,CK,2022-01-22 23:12:10,-21.2078,-159.775,77.05,94,75,16.11
45,Iqaluit,CA,2022-01-22 23:12:11,63.7506,-68.5145,2.7,65,100,5.01
46,Port Elizabeth,ZA,2022-01-22 23:13:11,-33.918,25.5701,72.1,73,0,18.97
47,Vaini,TO,2022-01-22 23:13:11,-21.2,-175.2,81.37,75,74,16.26
48,Kaitangata,NZ,2022-01-22 23:13:12,-46.2817,169.8464,57.92,54,54,8.95
49,Pisco,PE,2022-01-22 23:13:12,-13.7,-76.2167,73.45,73,0,20.71
50,Turochak,RU,2022-01-22 23:13:12,52.2576,87.1224,-12.51,100,63,2.64
51,Quzhou,CN,2022-01-22 23:13:12,28.9594,118.8686,50.32,98,100,4.05
52,Guanay,BO,2022-01-22 23:13:13,-15.4975,-67.8797,74.55,97,80,1.95
53,Souillac,MU,2022-01-22 23:13:13,-20.5167,57.5167,81.36,77,85,13.53
54,Chapais,CA,2022-01-22 23:13:13,49.7834,-74.8492,2.98,94,100,13.04
55,Portlethen,GB,2022-01-22 23:13:14,57.0547,-2.1307,42.03,93,75,3.44
56,Yorkton,CA,2022-01-22 23:13:14,51.2167,-102.4677,-7.22,100,87,3.6
57,Barrow,US,2022-01-22 23:09:02,71.2906,-156.7887,-7.58,71,100,21.85
58,Melo,UY,2022-01-22 23:13:14,-32.3667,-54.1833,85.59,62,58,13.18
59,Kruisfontein,ZA,2022-01-22 23:13:14,-34.0033,24.7314,69.89,80,0,9.42
60,Talnakh,RU,2022-01-22 23:13:15,69.4865,88.3972,13.21,95,100,11.34
61,Lasa,IT,2022-01-22 23:13:15,46.6166,10.7002,34.02,91,46,7.38
62,Namibe,AO,2022-01-22 23:13:15,-15.1961,12.1522,73.44,88,100,6.73
63,Port Alfred,ZA,2022-01-22 23:13:16,-33.5906,26.891,72.37,74,0,26.75
64,Bluff,NZ,2022-01-22 23:13:16,-46.6,168.3333,56.8,64,50,12.8
65,Tuatapere,NZ,2022-01-22 23:13:16,-46.1333,167.6833,56.82,59,72,7.4
66,Yar-Sale,RU,2022-01-22 23:13:16,66.8333,70.8333,3.78,100,100,1.95
67,Alofi,NU,2022-01-22 23:13:17,-19.0595,-169.9187,81.43,78,67,13.65
68,Banda Aceh,ID,2022-01-22 23:13:17,5.5577,95.3222,77.29,83,49,4.0
69,Pudozh,RU,2022-01-22 23:13:17,61.8099,36.5345,-11.27,100,72,2.55
70,Kroya,ID,2022-01-22 23:13:17,-7.6331,109.2461,77.2,92,100,2.8
71,Acarau,BR,2022-01-22 23:13:18,-2.8856,-40.12,80.01,77,78,11.88
72,Saryg-Sep,RU,2022-01-22 23:13:18,51.5,95.6,0.01,99,100,1.23
73,Mataura,NZ,2022-01-22 23:13:18,-46.1927,168.8643,56.48,45,74,7.02
74,Fairbanks,US,2022-01-22 23:13:19,64.8378,-147.7164,21.31,72,75,0.0
75,Fortuna,US,2022-01-22 23:13:19,40.5982,-124.1573,75.54,41,0,1.01
76,Chokurdakh,RU,2022-01-22 23:13:19,70.6333,147.9167,-18.51,96,100,6.91
77,Petropavlovsk-Kamchatskiy,RU,2022-01-22 23:13:19,53.0452,158.6483,8.78,78,0,11.18
