City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Te Anau,NZ,-45.4167,167.7167,69.42,40,6,3.85,clear sky
194,Tual,ID,-5.6667,132.75,82.56,79,91,13.85,overcast clouds
195,Ambilobe,MG,-13.2,49.05,74.82,95,100,9.75,heavy intensity rain
196,Bedford,GB,52.1346,-0.4663,42.51,95,98,5.53,overcast clouds
197,Dunedin,NZ,-45.8742,170.5036,60.8,61,3,7.0,clear sky
198,Ambulu,ID,-8.345,113.6058,83.95,71,96,7.27,overcast clouds
199,Cayenne,GF,4.9333,-52.3333,77.09,89,75,3.44,broken clouds
200,Husavik,IS,66.0449,-17.3389,33.71,89,100,3.74,overcast clouds
201,Acari,PE,-15.4311,-74.6158,72.52,87,60,4.36,broken clouds
202,Garden City,US,42.3256,-83.331,27.01,73,100,1.99,overcast clouds
203,Orito,CO,0.6766,-76.8771,73.44,83,15,4.41,few clouds
204,Nhulunbuy,AU,-12.2333,136.7667,88.41,70,40,4.61,light rain
205,Half Moon Bay,US,37.4636,-122.4286,60.98,56,0,0.0,clear sky
206,Taltal,CL,-25.4,-70.4833,66.83,78,4,2.06,clear sky
207,Kismayo,SO,-0.3582,42.5454,77.61,82,97,15.59,overcast clouds
208,Erenhot,CN,43.6475,111.9767,10.96,75,100,9.46,snow
209,Hay River,CA,60.8156,-115.7999,-0.42,85,100,5.75,snow
210,Urubicha,BO,-15.3833,-62.95,71.56,98,50,2.57,scattered clouds
211,Sakhon Nakhon,TH,17.1612,104.1472,75.88,96,75,2.3,mist
212,Amapa,BR,1.0,-52.0,71.15,98,39,2.42,scattered clouds
213,Kaeo,NZ,-35.1,173.7833,73.33,74,100,6.15,overcast clouds
214,Tambacounda,SN,13.7539,-13.7586,77.36,11,46,11.27,scattered clouds
215,Lagoa,PT,39.05,-27.9833,58.71,57,100,5.03,overcast clouds
216,Marand,IR,38.4329,45.7749,8.94,83,100,3.87,overcast clouds
217,Lacarak,RS,45.0022,19.5686,29.21,62,6,6.98,clear sky
218,Sao Filipe,CV,14.8961,-24.4956,73.74,77,100,5.35,overcast clouds
219,Richards Bay,ZA,-28.783,32.0377,71.94,69,99,4.94,overcast clouds
220,Brae,GB,60.3964,-1.353,48.11,93,94,25.66,overcast clouds
221,Hargeysa,SO,9.56,44.065,55.6,92,35,5.84,scattered clouds
222,Aykhal,RU,66.0,111.5,-6.99,99,53,7.74,broken clouds
223,Namibe,AO,-15.1961,12.1522,73.06,90,100,6.46,overcast clouds
224,Taywarah,AF,33.35,64.4167,-1.98,50,0,5.28,clear sky
225,Sawtell,AU,-30.3833,153.1,79.12,74,75,19.57,broken clouds
226,Songjianghe,CN,42.1859,127.479,17.1,70,81,4.21,broken clouds
227,Sibiti,CG,-3.6819,13.3499,67.15,97,38,0.74,scattered clouds
228,Hue,VN,16.4667,107.6,77.11,83,40,3.44,scattered clouds
229,Leshukonskoye,RU,64.8989,45.7622,-5.08,99,46,4.63,scattered clouds
230,Makat,KZ,47.6469,53.3463,15.28,83,60,12.55,broken clouds
231,Henderson,US,36.0397,-114.9819,57.24,31,0,12.66,clear sky
